,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,TimeDim,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
27,18017431,GDO_q35,COUNTRY,MLI,YEAR,2015,,,,,,,,,3.6,3.56806,0.03568,,,2018-02-27T14:38:15.627+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
28,18017432,GDO_q35,COUNTRY,MRT,YEAR,2015,,,,,,,,,4.1,4.08276,0.04083,,,2018-02-27T14:38:15.653+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
29,18017433,GDO_q35,COUNTRY,MUS,YEAR,2015,,,,,,,,,4.4,4.35239,0.04352,,,2018-02-27T14:38:15.68+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
30,18017434,GDO_q35,COUNTRY,MOZ,YEAR,2015,,,,,,,,,4.1,4.0952,0.04095,,,2018-02-27T14:38:15.7+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
31,18017435,GDO_q35,COUNTRY,NAM,YEAR,2015,,,,,,,,,4.4,4.44486,0.04445,,,2018-02-27T14:38:15.727+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
32,18017436,GDO_q35,COUNTRY,NER,YEAR,2015,,,,,,,,,3.4,3.41637,0.03416,,,2018-02-27T14:38:15.75+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
33,18017437,GDO_q35,COUNTRY,NGA,YEAR,2015,,,,,,,,,3.9,3.92851,0.03929,,,2018-02-27T14:38:15.773+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
34,18017438,GDO_q35,COUNTRY,RWA,YEAR,2015,,,,,,,,,3.8,3.78357,0.03784,,,2018-02-27T14:38:15.797+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
35,18017439,GDO_q35,COUNTRY,STP,YEAR,2015,,,,,,,,,3.9,3.89881,0.03899,,,2018-02-27T14:38:15.817+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
36,18017440,GDO_q35,COUNTRY,SEN,YEAR,2015,,,,,,,,,3.9,3.86937,0.03869,,,2018-02-27T14:38:15.84+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
37,18017441,GDO_q35,COUNTRY,SYC,YEAR,2015,,,,,,,,,4.0,3.96046,0.0396,,,2018-02-27T14:38:15.863+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
38,18017442,GDO_q35,COUNTRY,SLE,YEAR,2015,,,,,,,,,3.9,3.88445,0.03884,,,2018-02-27T14:38:15.89+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
39,18017443,GDO_q35,COUNTRY,ZAF,YEAR,2015,,,,,,,,,4.6,4.57973,0.0458,,,2018-02-27T14:38:15.91+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
40,18017444,GDO_q35,COUNTRY,SSD,YEAR,2015,,,,,,,,,4.4,4.41739,0.04417,,,2018-02-27T14:38:15.933+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
41,18017445,GDO_q35,COUNTRY,SWZ,YEAR,2015,,,,,,,,,4.2,4.19445,0.04194,,,2018-02-27T14:38:15.953+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
42,18017446,GDO_q35,COUNTRY,TGO,YEAR,2015,,,,,,,,,3.9,3.92564,0.03926,,,2018-02-27T14:38:15.98+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
43,18017447,GDO_q35,COUNTRY,UGA,YEAR,2015,,,,,,,,,4.6,4.64166,0.04642,,,2018-02-27T14:38:16.003+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
44,18017448,GDO_q35,COUNTRY,TZA,YEAR,2015,,,,,,,,,4.1,4.14388,0.04144,,,2018-02-27T14:38:16.027+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
45,18017449,GDO_q35,COUNTRY,ZMB,YEAR,2015,,,,,,,,,4.0,4.01352,0.04014,,,2018-02-27T14:38:16.053+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
46,18017450,GDO_q35,COUNTRY,ZWE,YEAR,2015,,,,,,,,,4.0,4.03884,0.04039,,,2018-02-27T14:38:16.077+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
